game_index,home_team,away_team,score_diff
1,Abilene Chr,Jackson St,9
2,Akron,S Dakota St,1
3,Alabama,Longwood,21
4,Arizona,Nicholls St,42
5,Arizona St,Tarleton St,3
6,Arkansas,N Dakota St,18
7,Auburn,George Mason,18
8,Baylor,MS Valley St,64
9,Belmont,Ohio,1
10,Boston College,Cornell,2
11,Boston Univ,Northeastern,9
12,Bowling Green,Air Force,4
13,Buffalo,Colgate,1
14,Butler,New Orleans,36
15,BYU,Idaho St,4
16,Charlotte,Coppin St,23
17,Clemson,Citadel,11
18,Col Charleston,Chattanooga,7
19,Colorado,UC Riverside,16
20,Colorado St,Gardner Webb,2
21,Connecticut,Stonehill,31
22,Creighton,St Thomas MN,12
23,Dayton,Lindenwood,27
24,Denver,Idaho,5
25,DePaul,Loyola MD,6
26,Duke,Jacksonville,27
27,Miami OH,Evansville,-4
28,USC,FL Gulf Coast,-13
29,Florida,Stony Brook,36
30,Florida Intl,Houston Chr,11
31,Fordham,Dartmouth,14
32,Georgia,W Carolina,13
33,Gonzaga,North Florida,41
34,Grand Canyon,Montana St,6
35,Princeton,Hofstra,-6
36,Houston,N Colorado,47
37,Illinois,E Illinois,30
38,Indiana,Morehead St,35
39,Indiana St,WI Green Bay,27
40,Iona,Penn,28
41,Iowa,Bethune-Cookman,31
42,Iowa St,IUPUI,49
43,Kansas,NE Omaha,25
44,Kansas St,UTRGV,34
45,N Kentucky,Kent,-22
46,Kentucky,Howard,32
47,Cal Baptist,Long Beach St,-15
48,Loyola-Chicago,F Dickinson,6
49,Marquette,Radford,10
50,Maryland,Niagara,22
51,Massachusetts,Central Conn,27
52,Vanderbilt,Memphis,-9
53,Miami FL,Lafayette,13
54,Michigan,PFW,19
55,Michigan St,Northern Arizona,18
56,Minnesota,W Michigan,1
57,Mississippi,Alcorn St,15
58,Mississippi St,TAM C. Christi,19
59,Missouri,Southern Indiana,6
60,William & Mary,Navy,-15
61,NC State,Austin Peay,49
62,Nebraska,Maine,13
63,Nevada,Utah Tech,13
64,New Mexico,Southern Utah,8
65,North Carolina,UNC Wilmington,13
66,Incarnate Word,North Dakota,-8
67,Northwestern,Chicago St,31
68,Ohio St,Robert Morris,38
69,Oklahoma St,UT Arlington,11
70,Old Dominion,MD E Shore,19
71,Oregon,Florida A&M,35
72,Oregon St,Tulsa,3
73,Penn St,Winthrop,25
74,Pepperdine,Rice,39
75,Pittsburgh,TN Martin,22
76,Rhode Island,Quinnipiac,-5
77,Richmond,VMI,21
78,Rutgers,Columbia,40
79,S Illinois,Ark Little Rock,31
80,Oklahoma,Sam Houston St,-1
81,San Diego St,CS Fullerton,23
