player,position,draft_year,draft_pos,performance_value
Eric Fisher,LT,2013,1,7.7
Jadeveon Clowney,ED,2014,1,8.5
Myles Garrett,ED,2017,1,12.6
Von Miller,ED,2011,2,12.3
Luke Joeckel,LG,2013,2,4.8
Greg Robinson,LT,2014,2,0.4
Saquon Barkley,RB,2018,2,4.5
Nick Bosa,ED,2019,2,15.1
Chase Young,ED,2020,2,5.1
Marcell Dareus,IDL,2011,3,11.1
Trent Richardson,RB,2012,3,1.3
Dion Jordan,ED,2013,3,0.4
Dante Fowler Jr.,ED,2015,3,6.4
Joey Bosa,ED,2016,3,13.600000000000001
Solomon Thomas,IDL,2017,3,1.8000000000000003
Quinnen Williams,IDL,2019,3,10.7
Jeff Okudah,CB,2020,3,2.3
A.J. Green,WR,2011,4,10.5
Matt Kalil,LT,2012,4,6.6000000000000005
Lane Johnson,RT,2013,4,7.200000000000001
Sammy Watkins,WR,2014,4,9
Amari Cooper,WR,2015,4,10.1
Ezekiel Elliott,RB,2016,4,8
Leonard Fournette,RB,2017,4,1
Denzel Ward,CB,2018,4,9.7
Clelin Ferrell,ED,2019,4,1.1
Andrew Thomas,LT,2020,4,10.5
Patrick Peterson,CB,2011,5,10.5
Justin Blackmon,WR,2012,5,0
Ezekiel Ansah,ED,2013,5,9.7
Khalil Mack,ED,2014,5,13.3
Brandon Scherff,RG,2015,5,7.6
Jalen Ramsey,CB,2016,5,10.1
Corey Davis,WR,2017,5,6.800000000000001
Bradley Chubb,ED,2018,5,10.6
Devin White,LB,2019,5,1.6
Julio Jones,WR,2011,6,9.9
Morris Claiborne,CB,2012,6,1.9
Barkevious Mingo,LB,2013,6,3.3000000000000003
Jake Matthews,LT,2014,6,8.2
Leonard Williams,IDL,2015,6,8.1
Ronnie Stanley,LT,2016,6,10
Jamal Adams,S,2017,6,9.6
Quenton Nelson,LG,2018,6,9.6
Aldon Smith,ED,2011,7,5.4
Mark Barron,S,2012,7,1.7000000000000002
Jonathan Cooper,RG,2013,7,3
Mike Evans,WR,2014,7,9.3
Kevin White,WR,2015,7,0.8
DeForest Buckner,IDL,2016,7,10.6
Mike Williams,WR,2017,7,9.6
Josh Hines-Allen,ED,2019,7,11.1
Derrick Brown,IDL,2020,7,9.4
Tavon Austin,WR,2013,8,6.800000000000001
Justin Gilbert,CB,2014,8,0
Vic Beasley,LB,2015,8,4.8
Jack Conklin,RT,2016,8,7.1
Christian McCaffrey,RB,2017,8,8.1
Roquan Smith,LB,2018,8,8.9
T.J. Hockenson,TE,2019,8,7.3
Isaiah Simmons,LB,2020,8,2
Tyron Smith,LT,2011,9,9.2
Luke Kuechly,LB,2012,9,8.6
Dee Milliner,CB,2013,9,0
Anthony Barr,LB,2014,9,7.200000000000001
Ereck Flowers,LT,2015,9,0.4
Leonard Floyd,ED,2016,9,5
John Ross,WR,2017,9,1.2
Mike McGlinchey,RT,2018,9,7.8
Ed Oliver,IDL,2019,9,7.6
C.J. Henderson,CB,2020,9,0.8
Stephon Gilmore,CB,2012,10,7.8
Chance Warmack,LG,2013,10,1.5
Eric Ebron,TE,2014,10,3.7000000000000006
Todd Gurley,RB,2015,10,8.1
Eli Apple,CB,2016,10,1.5
Devin Bush,LB,2019,10,1.6
Jedrick Wills,LT,2020,10,0.4
J.J. Watt,IDL,2011,11,12.5
Dontari Poe,IDL,2012,11,4.8
D.J. Fluker,RG,2013,11,1.8000000000000003
Taylor Lewan,LT,2014,11,9
Trae Waynes,CB,2015,11,7.1
Vernon Hargreaves,CB,2016,11,0.7
Marshon Lattimore,CB,2017,11,10.6
Minkah Fitzpatrick,S,2018,11,8.8
Jonah Williams,RT,2019,11,5.9
